"Ac-No","Name","sTime","Verify Mode","Machine","formattedDate"
100201,100201,"25/04/2024 9:44 AM",FP/PW/RF/FACE,1,"25/04/2024 09:44:00"
100209,100209,"25/04/2024 9:56 AM",FP/PW/RF/FACE,1,"25/04/2024 09:56:00"
100215,100215,"25/04/2024 11:19 AM",FP/PW/RF/FACE,1,"25/04/2024 11:19:00"
10152,10152,"25/04/2024 12:17 PM",FP/PW/RF/FACE,1,"25/04/2024 12:17:00"
10168,10168,"25/04/2024 12:31 PM",FP/PW/RF/FACE,1,"25/04/2024 12:31:00"
198873,198873,"25/04/2024 12:52 PM",FP/PW/RF/FACE,1,"25/04/2024 12:52:00"
100211,100211,"27/04/2024 7:28 AM",FP/PW/RF/FACE,1,"27/04/2024 07:28:00"
100223,100223,"27/04/2024 7:28 AM",FP/PW/RF/FACE,1,"27/04/2024 07:28:00"
100199,100199,"27/04/2024 7:40 AM",FP/PW/RF/FACE,1,"27/04/2024 07:40:00"
202924,202924,"27/04/2024 7:43 AM",FP/PW/RF/FACE,1,"27/04/2024 07:43:00"
185266,185266,"27/04/2024 7:48 AM",FP/PW/RF/FACE,1,"27/04/2024 07:48:00"
202917,202917,"27/04/2024 7:48 AM",FP/PW/RF/FACE,1,"27/04/2024 07:48:00"
202921,202921,"27/04/2024 7:51 AM",FP/PW/RF/FACE,1,"27/04/2024 07:51:00"
206640,206640,"27/04/2024 7:51 AM",FP/PW/RF/FACE,1,"27/04/2024 07:51:00"
10160,10160,"27/04/2024 7:51 AM",FP/PW/RF/FACE,1,"27/04/2024 07:51:00"
100208,100208,"27/04/2024 7:52 AM",FP/PW/RF/FACE,1,"27/04/2024 07:52:00"
158382,158382,"27/04/2024 7:54 AM",FP/PW/RF/FACE,1,"27/04/2024 07:54:00"
205883,205883,"27/04/2024 7:54 AM",FP/PW/RF/FACE,1,"27/04/2024 07:54:00"
10187,10187,"27/04/2024 7:57 AM",FP/PW/RF/FACE,1,"27/04/2024 07:57:00"
202910,202910,"27/04/2024 7:57 AM",FP/PW/RF/FACE,1,"27/04/2024 07:57:00"
206550,206550,"27/04/2024 7:57 AM",FP/PW/RF/FACE,1,"27/04/2024 07:57:00"
187418,187418,"27/04/2024 7:57 AM",FP/PW/RF/FACE,1,"27/04/2024 07:57:00"
205085,205085,"27/04/2024 7:58 AM",FP/PW/RF/FACE,1,"27/04/2024 07:58:00"
205086,205086,"27/04/2024 7:58 AM",FP/PW/RF/FACE,1,"27/04/2024 07:58:00"
206549,206549,"27/04/2024 7:59 AM",FP/PW/RF/FACE,1,"27/04/2024 07:59:00"
205087,205087,"27/04/2024 7:59 AM",FP/PW/RF/FACE,1,"27/04/2024 07:59:00"
145906,145906,"27/04/2024 8:02 AM",FP/PW/RF/FACE,1,"27/04/2024 08:02:00"
188852,188852,"27/04/2024 8:02 AM",FP/PW/RF/FACE,1,"27/04/2024 08:02:00"
202918,202918,"27/04/2024 8:03 AM",FP/PW/RF/FACE,1,"27/04/2024 08:03:00"
143329,143329,"27/04/2024 8:03 AM",FP/PW/RF/FACE,1,"27/04/2024 08:03:00"
206598,206598,"27/04/2024 8:05 AM",FP/PW/RF/FACE,1,"27/04/2024 08:05:00"
10190,10190,"27/04/2024 8:07 AM",FP/PW/RF/FACE,1,"27/04/2024 08:07:00"
156956,156956,"27/04/2024 8:10 AM",FP/PW/RF/FACE,1,"27/04/2024 08:10:00"
198032,198032,"27/04/2024 8:11 AM",FP/PW/RF/FACE,1,"27/04/2024 08:11:00"
166104,166104,"27/04/2024 8:11 AM",FP/PW/RF/FACE,1,"27/04/2024 08:11:00"
206257,206257,"27/04/2024 8:13 AM",FP/PW/RF/FACE,1,"27/04/2024 08:13:00"
125679,125679,"27/04/2024 8:13 AM",FP/PW/RF/FACE,1,"27/04/2024 08:13:00"
100213,100213,"27/04/2024 8:18 AM",FP/PW/RF/FACE,1,"27/04/2024 08:18:00"
147448,147448,"27/04/2024 8:24 AM",FP/PW/RF/FACE,1,"27/04/2024 08:24:00"
202923,202923,"27/04/2024 8:26 AM",FP/PW/RF/FACE,1,"27/04/2024 08:26:00"
144083,144083,"27/04/2024 8:28 AM",FP/PW/RF/FACE,1,"27/04/2024 08:28:00"
202447,202447,"27/04/2024 8:31 AM",FP/PW/RF/FACE,1,"27/04/2024 08:31:00"
100201,100201,"27/04/2024 8:33 AM",FP/PW/RF/FACE,1,"27/04/2024 08:33:00"
10196,10196,"27/04/2024 8:38 AM",FP/PW/RF/FACE,1,"27/04/2024 08:38:00"
100214,100214,"27/04/2024 8:38 AM",FP/PW/RF/FACE,1,"27/04/2024 08:38:00"
10060,10060,"27/04/2024 8:39 AM",FP/PW/RF/FACE,1,"27/04/2024 08:39:00"
150083,150083,"27/04/2024 8:42 AM",FP/PW/RF/FACE,1,"27/04/2024 08:42:00"
140760,140760,"27/04/2024 8:43 AM",FP/PW/RF/FACE,1,"27/04/2024 08:43:00"
100224,100224,"27/04/2024 8:45 AM",FP/PW/RF/FACE,1,"27/04/2024 08:45:00"
100216,100216,"27/04/2024 8:45 AM",FP/PW/RF/FACE,1,"27/04/2024 08:45:00"
114483,114483,"27/04/2024 8:46 AM",FP/PW/RF/FACE,1,"27/04/2024 08:46:00"
100194,100194,"27/04/2024 8:46 AM",FP/PW/RF/FACE,1,"27/04/2024 08:46:00"
10033,10033,"27/04/2024 8:46 AM",FP/PW/RF/FACE,1,"27/04/2024 08:46:00"
140806,140806,"27/04/2024 8:48 AM",FP/PW/RF/FACE,1,"27/04/2024 08:48:00"
10009,10009,"27/04/2024 8:48 AM",FP/PW/RF/FACE,1,"27/04/2024 08:48:00"
103270,103270,"27/04/2024 8:49 AM",FP/PW/RF/FACE,1,"27/04/2024 08:49:00"
10147,10147,"27/04/2024 8:49 AM",FP/PW/RF/FACE,1,"27/04/2024 08:49:00"
100226,100226,"27/04/2024 8:49 AM",FP/PW/RF/FACE,1,"27/04/2024 08:49:00"
10008,10008,"27/04/2024 8:52 AM",FP/PW/RF/FACE,1,"27/04/2024 08:52:00"
203478,203478,"27/04/2024 8:54 AM",FP/PW/RF/FACE,1,"27/04/2024 08:54:00"
10041,10041,"27/04/2024 8:55 AM",FP/PW/RF/FACE,1,"27/04/2024 08:55:00"
100225,100225,"27/04/2024 8:55 AM",FP/PW/RF/FACE,1,"27/04/2024 08:55:00"
190327,190327,"27/04/2024 9:00 AM",FP/PW/RF/FACE,1,"27/04/2024 09:00:00"
100209,100209,"27/04/2024 9:26 AM",FP/PW/RF/FACE,1,"27/04/2024 09:26:00"
100222,100222,"27/04/2024 10:46 AM",FP/PW/RF/FACE,1,"27/04/2024 10:46:00"
100215,100215,"27/04/2024 11:01 AM",FP/PW/RF/FACE,1,"27/04/2024 11:01:00"
10168,10168,"27/04/2024 1:03 PM",FP/PW/RF/FACE,1,"27/04/2024 13:03:00"
198873,198873,"27/04/2024 5:03 PM",FP/PW/RF/FACE,1,"27/04/2024 17:03:00"
199723,199723,"27/04/2024 7:00 PM",FP/PW/RF/FACE,1,"27/04/2024 19:00:00"
10034,10034,"27/04/2024 7:34 PM",FP/PW/RF/FACE,1,"27/04/2024 19:34:00"
100223,100223,"28/04/2024 7:40 AM",FP/PW/RF/FACE,1,"28/04/2024 07:40:00"
100211,100211,"28/04/2024 7:40 AM",FP/PW/RF/FACE,1,"28/04/2024 07:40:00"
100199,100199,"28/04/2024 7:42 AM",FP/PW/RF/FACE,1,"28/04/2024 07:42:00"
10160,10160,"28/04/2024 7:45 AM",FP/PW/RF/FACE,1,"28/04/2024 07:45:00"
202924,202924,"28/04/2024 7:46 AM",FP/PW/RF/FACE,1,"28/04/2024 07:46:00"
10187,10187,"28/04/2024 7:50 AM",FP/PW/RF/FACE,1,"28/04/2024 07:50:00"
202921,202921,"28/04/2024 7:50 AM",FP/PW/RF/FACE,1,"28/04/2024 07:50:00"
187418,187418,"28/04/2024 7:52 AM",FP/PW/RF/FACE,1,"28/04/2024 07:52:00"
199723,199723,"28/04/2024 7:52 AM",FP/PW/RF/FACE,1,"28/04/2024 07:52:00"
